check_id,security_code,security_name,source_peer_group,prior_decision,cross_industry_or_special_asset,review_outcome,watchlist_action,rationale,next_action,reviewed_at_utc
cross-industry-000408,000408,藏格矿业,有色金属-锂资源与锂盐,reject_for_now,Qarhan potash-lithium rights; Julong Copper equity economics; Zijin controlling-shareholder capability,false_negative_corrected,add_to_watch,Original lithium-only comparison underweighted the company-level cross-resource package. Revised to watch while keeping risks from copper price beta and equity-method income dependence.,Deep review should decompose potash operating profit; lithium ramp; Julong earnings; and Zijin operating impact.,2026-05-15T00:00:00+00:00
cross-industry-002223,002223,鱼跃医疗,医药生物-医疗器械-高端医械与医疗器械平台,reject_from_this_group,Home healthcare and consumer medical-device platform,not_current_false_negative,reclassify_for_future_group,Prior decision already rejected it only from high-end medical devices. The possible thesis belongs in a home-healthcare or consumer-medical-device group rather than this group.,Open a separate home-healthcare device group before final exclusion if that category is in scope.,2026-05-15T00:00:00+00:00
cross-industry-603799,603799,华友钴业,有色金属-战略资源与矿业,defer_to_battery_materials_group,Nickel-cobalt resource integration and battery-materials platform,resolved_in_battery_materials_group,add_to_watch,Prior decision deferred rather than rejected. The battery-materials calibration retained it because resource security; metallurgy; precursor and cathode integration; customer contracts; and overseas project execution create a company-level thesis beyond pure mining monopoly.,Track metal-price cycle; technology-route shifts; customer contracts; and overseas project execution in deep review.,2026-05-15T00:00:00+00:00
cross-industry-600499,600499,科达制造,有色金属-锂资源与锂盐,reject_for_now,Machinery; overseas building materials; non-controlled Lanke Lithium exposure,reject_defended,no_change,The cross-industry breadth does not create a controlled scarce-resource operating thesis. Lanke exposure is valuable but not cleaner than retained Salt Lake exposure.,Review later only in machinery or overseas-building-materials groups.,2026-05-15T00:00:00+00:00
cross-industry-002497,002497,雅化集团,有色金属-锂资源与锂盐,reject_for_now_or_reclassify_to_civil_explosives,Civil explosives plus lithium products and resource projects,not_current_false_negative,reclassify_for_future_group,Prior decision rejected it from lithium-resource watch but preserved the civil-explosives reclassification question. No immediate watch upgrade without a separate explosives moat comparison.,Calibrate with civil explosives and blasting-service peers if that group enters scope.,2026-05-15T00:00:00+00:00
cross-industry-300207,300207,欣旺达,电气设备-电源设备-动力电池与新能源车平台,reject,Consumer battery; pack; energy-storage exposure,not_current_false_negative,reclassify_for_future_group,Power-battery rejection remains defensible versus CATL and BYD. A consumer-battery or pack-platform thesis needs a separate peer group before any watch decision.,Review with consumer-battery and pack-platform peers if that category enters scope.,2026-05-15T00:00:00+00:00
cross-industry-688772,688772,珠海冠宇,电气设备-电源设备-动力电池与新能源车平台,reject,Consumer lithium battery niche,not_current_false_negative,reclassify_for_future_group,Power-battery rejection remains defensible. Its possible distinct advantage is consumer batteries rather than EV power batteries.,Review with consumer-battery peers before final exclusion from all watchlists.,2026-05-15T00:00:00+00:00
cross-industry-300567,300567,精测电子,电子设备-半导体设备,watch,Display metrology plus semiconductor front-end metrology,already_retained,no_change,The earlier semiconductor-equipment decision already handled mixed business exposure and retained the company with monitoring.,Track semiconductor-business purity and whether front-end metrology contracts become durable operating profit.,2026-05-15T00:00:00+00:00
cross-industry-000155,000155,川能动力,有色金属-锂资源与锂盐,reject_for_now,Power operation plus indirect lithium-resource exposure,reject_defended,no_change,The cross-industry mix weakens rather than strengthens the resource thesis because listed-company lithium exposure and cost-curve proof are not yet clean enough versus retained peers.,Reconsider only if LiJiaGou proves sustained low-cost production and effective resource exposure becomes clearer.,2026-05-15T00:00:00+00:00
cross-industry-601600,601600,中国铝业,有色金属-战略资源与矿业,reject,Integrated bauxite; alumina; electrolytic aluminum; aluminum processing,reject_defended,no_change,The breadth is mainly within the aluminum value chain. Current evidence still lacks a company-specific global low-cost or scarce-resource advantage strong enough for quality-watch inclusion.,Keep outside quality watch unless direct low-cost power; bauxite; alumina; or global position evidence improves.,2026-05-15T00:00:00+00:00
