check_id,check_area,status,market_type,security_code,security_name,observed_value,expected_value,standard_risk,next_action
market-scope,coverage,pass,A_SHARE,,,A_SHARE only,A_SHARE only,,Proceed with A-share-only peer-group calibration.
triage-coverage,coverage,pass,A_SHARE,,,"5515 triage rows; decisions={'challenged': 12, 'advance_to_deep_review': 985, 'borderline': 1328, 'reject': 3190}",One company-level triage row for each eligible A-share listed company.,Missing rows would mean peer-group calibration is being drawn from a partial A-share universe.,Investigate raw-to-scored coverage if this count changes unexpectedly.
queue-coverage,coverage,pass,A_SHARE,,,"2325 queue rows; decisions={'challenged': 12, 'advance_to_deep_review': 985, 'borderline': 1328}","A-share deep-review queue from threshold, borderline, and reviewer-challenge triggers.",An empty or mixed queue would block A-share-first peer-group calibration.,Use the queue for deep reviews; do not treat it as the final watchlist.
peer-group-calibration-required,calibration_method,observe,A_SHARE,,,No reusable standard is frozen by this audit.,Freeze standards only after comparing similar companies inside selected peer groups.,Randomly named familiar companies can bias the standard if treated as anchors.,"Choose one A-share peer group, compare multiple companies, collect reviewer decisions, then document rules."
score-band-85+,distribution,observe,A_SHARE,,,4,For reviewer inspection; not a fixed quota.,Distribution drift can reveal an over-loose or over-tight triage standard.,Use the distribution to select peer groups; do not impose a fixed candidate quota.
score-band-80-84.99,distribution,observe,A_SHARE,,,34,For reviewer inspection; not a fixed quota.,Distribution drift can reveal an over-loose or over-tight triage standard.,Use the distribution to select peer groups; do not impose a fixed candidate quota.
score-band-75-79.99,distribution,observe,A_SHARE,,,97,For reviewer inspection; not a fixed quota.,Distribution drift can reveal an over-loose or over-tight triage standard.,Use the distribution to select peer groups; do not impose a fixed candidate quota.
score-band-70-74.99,distribution,observe,A_SHARE,,,254,For reviewer inspection; not a fixed quota.,Distribution drift can reveal an over-loose or over-tight triage standard.,Use the distribution to select peer groups; do not impose a fixed candidate quota.
score-band-65-69.99,distribution,observe,A_SHARE,,,607,For reviewer inspection; not a fixed quota.,Distribution drift can reveal an over-loose or over-tight triage standard.,Use the distribution to select peer groups; do not impose a fixed candidate quota.
score-band-60-64.99,distribution,observe,A_SHARE,,,1328,For reviewer inspection; not a fixed quota.,Distribution drift can reveal an over-loose or over-tight triage standard.,Use the distribution to select peer groups; do not impose a fixed candidate quota.
