peer_group,security_code,security_name,archetype,triage_score,preliminary_attention,moat_summary,advantage_summary,weakness_summary,market_position_summary,source_backed_evidence,source_quality,reviewer_question,source_urls,reviewed_at_utc
食品饮料-饮料-白酒,600519,贵州茅台,全国高端酱香龙头,87.02,core_watch,稀缺产区加酱香工艺加飞天品牌共同形成强护城河。资金可以扩产酒厂但不能快速复制茅台镇产区心智、老酒库存、渠道信任和高端礼赠属性。,品牌与价格锚最强。公司披露核心竞争力为品质、品牌、工艺、环境、文化。2025 年虽收入和净利润下滑但 ROE 仍高且现金分红能力强。,高端消费场景收缩、渠道价格体系和非标产品调整会影响短期增长。强护城河不等于无周期。,高端白酒绝对龙头。KPMG/中国酒业协会报告显示 CR6 利润集中度持续提升且头部企业在周期中韧性更强。,2025 年报披露主业为茅台酒及系列酒生产销售、营销覆盖国内及五大洲 66 个国家和地区、核心竞争力未变。KPMG/中国酒业协会报告指出头部品牌护城河和渠道掌控力增强控价能力。,primary_annual_report,你是否同意将贵州茅台设为白酒组无条件核心关注样本但不以估值作为本轮判断依据？,https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-17/600519_20260417_9QS4.pdf;https://assets.kpmg.com/content/dam/kpmg/cn/pdf/zh/2025/06/mid-term-research-report-on-the-chinese-baijiu-market-2025.pdf,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,000858,五粮液,全国高端浓香龙头,85.68,core_watch,浓香高端品牌、五粮工艺、全国渠道和宴席礼赠心智形成强护城河。与茅台相比稀缺产区叙事弱一些但全国品牌和渠道仍强。,高端浓香价格带代表企业。渠道体系和品牌认知强。2025 年报摘要披露公司持续强化消费者培育、私域和渠道结构优化。,2025 年披露存在业务模式梳理和收入确认核算调整。行业深度调整下收入可比性和价格体系需要重点跟踪。,全国白酒核心龙头之一。KPMG/中国酒业协会报告将五粮液列为 CR6 并指出 CR6 利润占行业比重 2024 年达到 86%。,2025 年度报告摘要显示行业产量、销售收入、利润总额均下降。公司对收入确认核算作出谨慎调整。KPMG/中国酒业协会报告支持 CR6 集中度证据。,annual_report_summary_plus_industry_report,你是否同意五粮液仍为核心关注但需要单独标记收入确认和渠道价格跟踪风险？,https://paper.cnstock.com/html/2026-05/06/content_2212529.htm;https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12294780&stockid=000858;https://assets.kpmg.com/content/dam/kpmg/cn/pdf/zh/2025/06/mid-term-research-report-on-the-chinese-baijiu-market-2025.pdf,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,600809,山西汾酒,全国化清香龙头,80.71,core_watch,清香品类龙头、汾酒和竹叶青品牌、全国化推进和品类标准心智构成护城河。资金可以做清香产品但难以快速获得汾酒的历史品牌和品类代表性。,2025 年营收仍增长且净利润基本持平。行业下行中保持韧性。清香型相对浓香酱香有差异化品类定位。,估值不看但经营上需确认全国化是否仍能保持质量增长。高增长阶段后可能进入稳健期。,CR6 成员之一。公开年报报道显示 2025 年营收 387.18 亿元、归母净利润 122.46 亿元。KPMG/中国酒业协会报告把山西汾酒列为头部韧性企业。,山西汾酒 2025 年报报道披露营收增长 7.52%、净利润增长 0.03%。KPMG/中国酒业协会报告显示头部企业优势来自品牌护城河和渠道掌控力。,annual_report_summary_plus_industry_report,你是否同意将山西汾酒列为白酒第二类核心关注样本即品类龙头型？,https://www.nbd.com.cn/articles/2026-04-22/4352813.html;https://assets.kpmg.com/content/dam/kpmg/cn/pdf/zh/2025/06/mid-term-research-report-on-the-chinese-baijiu-market-2025.pdf,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,000568,泸州老窖,全国高端浓香龙头,79.14,watch,国窖 1573 和泸州老窖双品牌、浓香历史名酒、科研平台和渠道覆盖形成较强护城河。资金难以快速复制品牌资产和高端浓香消费者认知。,公司半年度报告披露国窖 1573 国内全面覆盖、海外扩张、多个国家级科技创新平台、近 5 年研发投入超 10 亿元。,2025 年全年营收和净利润两位数下滑。高端浓香价格带受商务宴请和渠道库存压力影响明显，需要观察出清。,CR6 成员之一。仍是全国高端浓香代表但短期经营质量弱于茅台、汾酒等。,2025 半年度报告披露科研平台、渠道和品牌进展。2025 年报报道披露收入 257.31 亿元、归母净利润 108.31 亿元并同比分别下降 17.52%、19.61%。,primary_half_year_report_plus_annual_report_summary,你是否同意泸州老窖列为关注但要求渠道价格和收入修复作为后续验证条件？,https://disc.static.szse.cn/disc/disk03/finalpage/2025-08-30/9b7b5a04-d2f1-4f2b-ac1d-35d1a6cb25de.PDF;https://www.thepaper.cn/newsDetail_forward_33072750;https://pdf.dfcfw.com/pdf/H2_AN202604281821699992_1.pdf,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,000596,古井贡酒,区域强龙头兼全国化尝试,85.91,watch,安徽根据地、古井贡酒品牌、黄鹤楼并表和次高端战略形成区域强护城河。资金较难短期复制安徽市场渠道密度和历史品牌但全国化壁垒弱于高端三强。,年报披露公司推进战略 5.0、全国化和次高端、抓动销去库存拓渠道稳价格。公司也强调原粮、生产、实验室和市场联动。,2025 年行业下行中净利润大幅下降。次高端价格带竞争激烈。区域龙头向全国化扩张可能消耗资源。,CR6 成员之一但更偏区域强势和次高端。相对茅五泸汾更依赖安徽及周边市场表现。,2025 年报披露行业量缩价跌、库存高企、消费分化。公司提出全国化次高端战略和渠道十二字方针。KPMG/中国酒业协会报告列其为 CR6。,annual_report_text_plus_industry_report,你是否同意古井贡酒属于关注但低于全国高端龙头且需要验证安徽外扩张效率？,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12258306&stockid=000596;https://assets.kpmg.com/content/dam/kpmg/cn/pdf/zh/2025/06/mid-term-research-report-on-the-chinese-baijiu-market-2025.pdf,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,002304,洋河股份,全国化次高端老龙头,83.82,watch_if_turnaround,洋河、双沟品牌和江苏渠道基础仍有价值。梦之蓝系列曾形成次高端全国化心智。但当行业从扩容转为存量竞争时护城河需要重新验证。,曾为 CR6 成员。江苏消费能力强且渠道基础深。品牌资产不能忽视。,当前主要问题是次高端价格带受冲击、利润和分红能力承压。若渠道和产品价格体系没有修复，历史品牌不能自动转化为复利能力。,CR6 成员之一但近年来相对弱化。更像需要复核的老牌强公司而非无条件核心。,KPMG/中国酒业协会报告列洋河为 CR6 并说明 CR6 利润集中度高。但行业报告和新闻显示次高端与区域酒企压力更大。,industry_report_plus_annual_summary_needs_primary_pdf,你是否认为洋河应保留观察还是因为竞争力弱化先剔除？,https://assets.kpmg.com/content/dam/kpmg/cn/pdf/zh/2025/06/mid-term-research-report-on-the-chinese-baijiu-market-2025.pdf;https://www.thewinetimes.com/deep/10241,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,603369,今世缘,江苏区域龙头,83.77,watch,江苏根据地、国缘品牌和宴席场景形成区域护城河。资金可以进入区域白酒但难以迅速复制地方宴席渠道和消费者关系。,区域龙头属性清晰。KPMG/中国酒业协会报告提到区域龙头今世缘 2024 年保持较高增长。,护城河主要是区域和渠道。全国化和高端化程度弱于高端全国龙头。行业调整时区域酒库存和价格压力需要验证。,江苏强区域龙头。可作为区域龙头样本与古井、迎驾、口子窖比较。,KPMG/中国酒业协会报告指出古井贡酒、今世缘等区域龙头 2024 年保持较高增长。行业报告显示 2025 年区域和次高端承压。,industry_report_plus_annual_summary_needs_primary_pdf,你是否同意区域龙头可以关注但必须要求根据地份额、价格稳定和现金回款同时成立？,https://assets.kpmg.com/content/dam/kpmg/cn/pdf/zh/2025/06/mid-term-research-report-on-the-chinese-baijiu-market-2025.pdf;https://www.thewinetimes.com/deep/10241,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,603198,迎驾贡酒,安徽区域龙头,85.19,watch,安徽及周边区域渠道、生态洞藏差异化和产品结构构成区域护城河。资金可复制营销但不易快速复制成熟根据地渠道和品牌认知。,2026Q1 收入恢复增长的报道表明公司主动降低渠道压力后可能更早修复。区域深耕明确。,2025 年收入和利润大幅下降。强区域品牌和真实复利能力之间还需要验证。全国化确定性弱于古井。,安徽区域强势企业之一。适合作为区域龙头恢复力样本。,研究报告和公告报道显示 2025 年营收 60.19 亿元、归母净利润 19.86 亿元同比分别下降 18.04%、23.31%、2026Q1 收入同比转正。,annual_report_summary_plus_research_report,你是否同意迎驾贡酒暂列观察而不是核心关注？,https://www.nxny.com/report/view_6273045.html;https://finance.sina.com.cn/jjxw/2026-04-23/doc-inhvmvzh5098716.shtml,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,603589,口子窖,安徽区域酒企,81.45,watch_if_turnaround,安徽区域品牌和兼香差异化有一定护城河。但品牌高度、全国化能力和价格带掌控力弱于古井和迎驾。,具备区域消费者认知和品类差异化。可能在安徽市场有稳定基本盘。,行业调整下区域酒企和中小酒企承压更重。若缺少清晰份额提升或价格稳定证据，不宜仅因历史品牌进入核心关注。,安徽区域酒企。应与古井、迎驾同组比较但初步弱一档。,KPMG/中国酒业协会报告显示库存压力和价格倒挂普遍化。行业跟踪显示区域酒企承压。,industry_report_needs_primary_pdf,你是否认为口子窖的区域品牌和兼香差异足以继续观察？,https://assets.kpmg.com/content/dam/kpmg/cn/pdf/zh/2025/06/mid-term-research-report-on-the-chinese-baijiu-market-2025.pdf;https://www.thewinetimes.com/deep/10241,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,600779,水井坊,次高端品牌,81.57,reject_for_now,历史品牌和次高端定位有一定资产但护城河偏品牌营销和价格带定位。相对全国高端龙头缺少不可复制的产区或渠道优势。,品牌历史和高毛利定位有吸引力。外资治理和品牌运作可作为特殊观察点。,次高端价格带在行业调整中最容易价格内卷。公司规模和渠道掌控力不够强时护城河容易被证伪。,全国次高端参与者但非绝对龙头。相比汾酒、洋河、古井的市场地位更弱。,KPMG/中国酒业协会报告显示 300-800 元次高端区间陷入激烈价格内卷。行业年报汇总显示多数白酒企业 2025 年业绩承压。,industry_report_needs_primary_pdf,你是否同意先剔除水井坊，除非后续证据显示其品牌和渠道恢复明显？,https://assets.kpmg.com/content/dam/kpmg/cn/pdf/zh/2025/06/mid-term-research-report-on-the-chinese-baijiu-market-2025.pdf;https://www.thewinetimes.com/deep/10241,2026-05-14T00:00:00+00:00
