security_code,symbol,exchange,board,listed_company_name,security_name,currency,isin,category,sub_category,board_lot,subject_to_stamp_duty,shortsell_eligible,cas_eligible,vcm_eligible,admitted_to_ccass,pos_eligible,rmb_counter,source_provider,source_dataset,source_retrieved_at_utc,source_as_of_date,raw_identifier,source_url,market_type,market_label,moat_score,screening_decision,screening_reason,evidence_sources,screening_run_at_utc
00001,00001.HK,HKEX,main_board,CKH HOLDINGS,CKH HOLDINGS,HKD,KYG217651051,Equity,Equity Securities (Main Board),500,Y,Y,Y,Y,Y,Y,,Hong Kong Exchanges and Clearing Limited,hkex_full_list_of_securities_equity,2026-05-12T09:46:56+00:00,2026-05-12,00001,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,HONG_KONG,港股,,excluded,insufficient_evidence: no reliable source-backed evidence row; not scored to avoid fabrication,,2026-05-14T09:42:06+00:00
00002,00002.HK,HKEX,main_board,CLP HOLDINGS,CLP HOLDINGS,HKD,HK0002007356,Equity,Equity Securities (Main Board),500,Y,Y,Y,Y,Y,Y,,Hong Kong Exchanges and Clearing Limited,hkex_full_list_of_securities_equity,2026-05-12T09:46:56+00:00,2026-05-12,00002,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,HONG_KONG,港股,,excluded,insufficient_evidence: no reliable source-backed evidence row; not scored to avoid fabrication,,2026-05-14T09:42:06+00:00
00003,00003.HK,HKEX,main_board,HK & CHINA GAS,HK & CHINA GAS,HKD,HK0003000038,Equity,Equity Securities (Main Board),1000,Y,Y,Y,Y,Y,Y,,Hong Kong Exchanges and Clearing Limited,hkex_full_list_of_securities_equity,2026-05-12T09:46:56+00:00,2026-05-12,00003,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,HONG_KONG,港股,,excluded,insufficient_evidence: no reliable source-backed evidence row; not scored to avoid fabrication,,2026-05-14T09:42:06+00:00
00004,00004.HK,HKEX,main_board,WHARF HOLDINGS,WHARF HOLDINGS,HKD,HK0004000045,Equity,Equity Securities (Main Board),1000,Y,Y,Y,Y,Y,Y,,Hong Kong Exchanges and Clearing Limited,hkex_full_list_of_securities_equity,2026-05-12T09:46:56+00:00,2026-05-12,00004,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,HONG_KONG,港股,,excluded,insufficient_evidence: no reliable source-backed evidence row; not scored to avoid fabrication,,2026-05-14T09:42:06+00:00
00005,00005.HK,HKEX,main_board,HSBC HOLDINGS,HSBC HOLDINGS,HKD,GB0005405286,Equity,Equity Securities (Main Board),400,Y,Y,Y,Y,Y,Y,,Hong Kong Exchanges and Clearing Limited,hkex_full_list_of_securities_equity,2026-05-12T09:46:56+00:00,2026-05-12,00005,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,HONG_KONG,港股,,excluded,insufficient_evidence: no reliable source-backed evidence row; not scored to avoid fabrication,,2026-05-14T09:42:06+00:00
00006,00006.HK,HKEX,main_board,POWER ASSETS,POWER ASSETS,HKD,HK0006000050,Equity,Equity Securities (Main Board),500,Y,Y,Y,Y,Y,Y,,Hong Kong Exchanges and Clearing Limited,hkex_full_list_of_securities_equity,2026-05-12T09:46:56+00:00,2026-05-12,00006,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,HONG_KONG,港股,,excluded,insufficient_evidence: no reliable source-backed evidence row; not scored to avoid fabrication,,2026-05-14T09:42:06+00:00
00007,00007.HK,HKEX,main_board,WISDOM WEALTH,WISDOM WEALTH,HKD,BMG4643R1245,Equity,Equity Securities (Main Board),10000,Y,,Y,,Y,Y,,Hong Kong Exchanges and Clearing Limited,hkex_full_list_of_securities_equity,2026-05-12T09:46:56+00:00,2026-05-12,00007,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,HONG_KONG,港股,,excluded,insufficient_evidence: no reliable source-backed evidence row; not scored to avoid fabrication,,2026-05-14T09:42:06+00:00
00008,00008.HK,HKEX,main_board,PCCW,PCCW,HKD,HK0008011667,Equity,Equity Securities (Main Board),1000,Y,Y,Y,Y,Y,Y,,Hong Kong Exchanges and Clearing Limited,hkex_full_list_of_securities_equity,2026-05-12T09:46:56+00:00,2026-05-12,00008,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,HONG_KONG,港股,,excluded,insufficient_evidence: no reliable source-backed evidence row; not scored to avoid fabrication,,2026-05-14T09:42:06+00:00
00010,00010.HK,HKEX,main_board,HANG LUNG GROUP,HANG LUNG GROUP,HKD,HK0010000088,Equity,Equity Securities (Main Board),1000,Y,Y,Y,Y,Y,Y,,Hong Kong Exchanges and Clearing Limited,hkex_full_list_of_securities_equity,2026-05-12T09:46:56+00:00,2026-05-12,00010,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,HONG_KONG,港股,,excluded,insufficient_evidence: no reliable source-backed evidence row; not scored to avoid fabrication,,2026-05-14T09:42:06+00:00
00012,00012.HK,HKEX,main_board,HENDERSON LAND,HENDERSON LAND,HKD,HK0012000102,Equity,Equity Securities (Main Board),1000,Y,Y,Y,Y,Y,Y,,Hong Kong Exchanges and Clearing Limited,hkex_full_list_of_securities_equity,2026-05-12T09:46:56+00:00,2026-05-12,00012,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,HONG_KONG,港股,,excluded,insufficient_evidence: no reliable source-backed evidence row; not scored to avoid fabrication,,2026-05-14T09:42:06+00:00
