market_type,market_label,security_code,symbol,exchange,board,listed_company_name,security_name,currency,moat_score,screening_reason,evidence_sources,screening_run_at_utc,source_raw_file
A_SHARE,A股,600519,600519.SH,SSE,main_board,贵州茅台酒股份有限公司,贵州茅台,CNY,90,90 based on unusually strong brand and channel moat high margin cash generation and resilient category leadership with demand and policy risks,https://www.moutaichina.com/mtgf/articleFileDir/2026-04/17/1d565b73e05549c4ad4392314e62112c.pdf;https://www.moutaichina.com/mtgf/2025-10/18/article_2025101811085247943.html,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,300750,300750.SZ,SZSE,chinext,宁德时代,宁德时代,CNY,88,88 based on global battery leadership high R&D intensity patent base operating cash flow and manufacturing scale with competition and cycle risks,https://www.catl.com/en/news/6773.html,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,000333,000333.SZ,SZSE,main_board,美的集团,美的集团,CNY,83,83 based on global appliance scale brand channel R&D footprint and record 2025 performance with cyclical hardware margin risks,https://www.midea.com.cn/en/Investors?wcmmode=disabled;https://www.midea.com/global/about-midea,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,002594,002594.SZ,SZSE,main_board,比亚迪,比亚迪,CNY,82,82 based on vertical integration technology breadth and NEV leadership offset by auto cyclicality margin pressure and capital intensity,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=2696;https://static.cninfo.com.cn/finalpage/enpage/002594_2.pdf,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,600900,600900.SH,SSE,main_board,中国长江电力股份有限公司,长江电力,CNY,82,82 based on scarce hydropower assets regulated infrastructure cash flow and high replacement barriers with hydrology and tariff risks,https://www.rns-pdf.londonstockexchange.com/rns/5852C_1-2026-4-30.pdf,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,300760,300760.SZ,SZSE,chinext,迈瑞医疗,迈瑞医疗,CNY,81,81 based on hospital installed base quality systems product breadth and R&D culture with procurement and regulatory risks,https://www.mindray.com/en/about-us;https://www.mindray.com/content/dam/xpace/en/investor-relations/2025/mindray-2025-esg-report-en.pdf,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,002415,002415.SZ,SZSE,main_board,海康威视,海康威视,CNY,79,79 based on large installed base AIoT technology platform and mature profitability offset by geopolitical and regulatory risks,https://www.hikvision.com/content/dam/hikvision/en/marketing/image/latest-news/20260427/2025-hikvision-annual-report_en.pdf,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,600887,600887.SH,SSE,main_board,内蒙古伊利实业集团股份有限公司,伊利股份,CNY,78,78 based on dairy brand distribution scale and category leadership with moderate margins and commodity input risks,https://www.yili.com/en/investors,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,600690,600690.SH,SSE,main_board,海尔智家股份有限公司,海尔智家,CNY,77,77 based on global appliance brand portfolio local operating model and record 2025 results offset by cyclical hardware risks,https://www.haier.com/global/press-events/news/20260402_288863.shtml,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,002050,002050.SZ,SZSE,main_board,三花智控,三花智控,CNY,76,76 based on global thermal management niche scale precision component know how and EV exposure with customer and cycle risks,https://www.zjshc.com/en/investor/hkstock.html,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
