peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,analyst_response,calibrated_standard_implication,applies_to_future_markets,decided_at_utc
有色金属-战略资源与矿业,601899,紫金矿业,core_watch,watch,direct_watch,reviewer_explicit,Reviewer explicitly retains Zijin Mining.,Accepted. Zijin is a global mine-development anchor with copper-gold resource depth; project execution; and cross-border operating capability. Cyclicality is a monitoring risk not a reason to exclude it.,Global mine developers with scarce reserves; repeatable development capability; and meaningful international position should outrank large smelting or processing platforms.,true,2026-05-14T00:00:00+00:00
有色金属-战略资源与矿业,603993,洛阳钼业,core_watch,watch,direct_watch,reviewer_explicit,Reviewer explicitly retains CMOC.,Accepted. CMOC is retained for differentiated copper-cobalt-molybdenum-tungsten-niobium resources; international mine operation; and strong cash generation.,Multiple resource companies can be retained when their resource portfolios and mine-development capabilities are meaningfully different and not weak copies of each other.,true,2026-05-14T00:00:00+00:00
有色金属-战略资源与矿业,600111,北方稀土,watch,watch,direct_watch,reviewer_explicit,Reviewer explicitly retains China Northern Rare Earth.,Accepted. Rare-earth quota; resource access; separation and materials position create a strategic-resource moat even though earnings remain price and policy cyclical.,For rare earths country-level supply concentration can support watchlist inclusion only when the listed company also has company-level quota; resource; separation; or material-chain control.,true,2026-05-14T00:00:00+00:00
有色金属-战略资源与矿业,000960,锡业股份,watch,watch,direct_watch,reviewer_explicit,Reviewer explicitly retains Yunnan Tin.,Accepted. Tin and indium resource leadership; global tin share; and integrated mining-smelting-processing support direct watchlist inclusion.,Strategic small-metal leaders can be retained when company-level market share or resource reserve evidence is strong enough even if earnings remain commodity-cyclical.,true,2026-05-14T00:00:00+00:00
有色金属-战略资源与矿业,601600,中国铝业,watch_if_cost_curve_and_integration_hold,reject,,analyst_inferred_from_reviewer_standard,Boundary companies should be judged by international monopoly position; margins; capacity constraint; cost competitiveness; and reserve advantage.,Rejected from quality watch. Chalco benefits from scale; integration; and China's electrolytic-aluminum capacity ceiling. The evidence does not show company-level international monopoly or clearly superior global cost curve. Its 2025 gross and net margins are good for a cyclical aluminum platform but not enough to displace stronger resource moats.,Aluminum capacity caps or SOE scale are not enough. Aluminum companies require company-specific low-cost power; bauxite or alumina advantage; and global position before entering the quality watchlist.,true,2026-05-14T00:00:00+00:00
有色金属-战略资源与矿业,002428,云南锗业,watch_if_strategic_resource_accepted,reject_for_now,,analyst_inferred_from_reviewer_standard,Boundary companies should be judged by company-level international monopoly position; margins; capacity constraint; cost competitiveness; and reserve advantage.,Rejected for now. Germanium is strategic and China is the leading global producer and exporter. Available authoritative evidence supports country-level concentration more strongly than company-level monopoly. Yunnan Germanium has a full product chain and useful capacity but weak current margins; negative operating cash flow; and insufficient reserve or cost-curve proof keep it out of watch for now.,Country-level strategic dominance is not enough. A small-metal company needs source-backed company-level global share; reserves; cost; or process economics before watchlist inclusion.,true,2026-05-14T00:00:00+00:00
有色金属-战略资源与矿业,000792,盐湖股份,watch_if_salt_lake_potash_lithium_moat_accepted,watch,boundary_judged_watch,analyst_inferred_from_reviewer_standard,Boundary companies should be judged by monopoly position; margins; capacity constraint; cost competitiveness; and reserve advantage.,Retained. Salt Lake is not a global potash monopoly. It has a hard-to-replicate domestic strategic-resource position in Qarhan salt-lake potash and salt-lake lithium; very high 2025 margins; large mining-right area after resource integration; and capacity constrained by scarce brine resources and permits.,A domestic monopoly or near-monopoly can qualify when the mineral is import-sensitive; resource access is scarce; margins are structurally high; and the advantage is not mainly commodity-price beta.,true,2026-05-14T00:00:00+00:00
有色金属-战略资源与矿业,600547,山东黄金,watch_if_pure_gold_specialist_accepted,reject,,analyst_inferred_from_reviewer_standard,Boundary companies should be judged by international monopoly position; margins; capacity constraint; cost competitiveness; and reserve advantage.,Rejected from this quality watch. Shandong Gold has strong domestic gold output; resource additions; and deep-mining projects. Gold mining is globally fragmented and its current profitability is heavily helped by gold-price beta. Zijin already covers a stronger diversified gold-resource thesis.,Pure gold miners need a stronger company-specific global scale; low-cost curve; reserve; or exploration edge than a retained diversified gold miner before separate watchlist inclusion.,true,2026-05-14T00:00:00+00:00
有色金属-战略资源与矿业,600549,厦门钨业,watch_if_tungsten_materials_moat_accepted,watch,boundary_judged_watch,analyst_inferred_from_reviewer_standard,Boundary companies should be judged by international monopoly position; margins; capacity constraint; cost competitiveness; and reserve advantage.,Retained. Xiamen Tungsten is not a pure miner but tungsten is globally supply-concentrated and China applies mining quota controls. The company has an integrated tungsten-molybdenum chain; meaningful upstream self-supply; strong tungsten-molybdenum margins; and globally competitive molybdenum and tungsten material positions.,For tungsten retain differentiated companies when resource constraint; quota control; high-value processing; and strong step-level margins are all present. Pure mining status is not required if the processing moat is resource-backed.,true,2026-05-14T00:00:00+00:00
有色金属-战略资源与矿业,000657,中钨高新,watch_if_hard_alloy_moat_accepted,watch,boundary_judged_watch,analyst_inferred_from_reviewer_standard,Boundary companies should be judged by international monopoly position; margins; capacity constraint; cost competitiveness; and reserve advantage.,Retained. China Tungsten High-Tech has stronger company-level evidence than a normal material processor. Its annual report describes Shizhuyuan as the world's largest single operating tungsten mine and public disclosures identify its cemented-carbide scale as global No. 1. Margins and R&D intensity are acceptable for high-end tungsten materials.,Keep both Xiamen Tungsten and China Tungsten High-Tech because they are differentiated. Xiamen Tungsten is an integrated tungsten-molybdenum and material platform while China Tungsten High-Tech is a hard-alloy tooling and Shizhuyuan-backed tungsten platform.,true,2026-05-14T00:00:00+00:00
