peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
信息技术-计算机软件-其他软件服务,300634,彩讯股份,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"the business is mainly IT services, software outsourcing, system integration, or project delivery; capability is useful but not hard to replicate with capital and hiring.","Rejected for now. 彩讯股份: the business is mainly IT services, software outsourcing, system integration, or project delivery; capability is useful but not hard to replicate with capital and hiring. triage 80.97; moat 80.28; technology 92.77; market 90.21; quality 67.46; governance 71.47.","Reject project-heavy, replaceable, weaker-copy, or customer-concentrated software-service companies even when domain experience is real.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300634;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300634.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300634.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
信息技术-计算机软件-其他软件服务,301638,南网数字,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated software-review rules.,"South Grid digitalization platform. Captive-customer risk is real, but power-grid workflow, data, and dispatch/digital infrastructure knowledge justify monitoring.","Retained after boundary review. 南网数字: South Grid digitalization platform. Captive-customer risk is real, but power-grid workflow, data, and dispatch/digital infrastructure knowledge justify monitoring. triage 80.64; moat 81.96; technology 88.82; market 95.40; quality 66.11; governance 69.55.",Boundary retention requires a distinct niche not already covered by a stronger retained software platform.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301638;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301638.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301638.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
信息技术-计算机软件-其他软件服务,300496,中科创达,advance_to_deep_review,watch,direct_watch,analyst_company_by_company_review,Direct watch: clear software/product/platform anchor after company-by-company review.,"Embedded operating-system, intelligent vehicle, edge-AI, and mobile software platform with global tier-one customer validation; product engineering depth is harder to replicate than ordinary outsourcing.","Retained. 中科创达: Embedded operating-system, intelligent vehicle, edge-AI, and mobile software platform with global tier-one customer validation; product engineering depth is harder to replicate than ordinary outsourcing. triage 73.73; moat 71.20; technology 74.29; market 83.78; quality 67.68; governance 70.46.","Retain software-service companies only when they are actually product, infrastructure, workflow, or hard-domain platforms rather than replaceable delivery vendors.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300496;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300496.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300496.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
信息技术-计算机软件-其他软件服务,600728,佳都科技,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"the business is mainly IT services, software outsourcing, system integration, or project delivery; capability is useful but not hard to replicate with capital and hiring.","Rejected for now. 佳都科技: the business is mainly IT services, software outsourcing, system integration, or project delivery; capability is useful but not hard to replicate with capital and hiring. triage 72.41; moat 74.68; technology 72.32; market 83.97; quality 59.02; governance 67.49.","Reject project-heavy, replaceable, weaker-copy, or customer-concentrated software-service companies even when domain experience is real.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH600728;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600728.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600728.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
信息技术-计算机软件-其他软件服务,300532,今天国际,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated software-review rules.,"Smart logistics and automated warehouse software/equipment integrator; retained narrowly because large project delivery, algorithms, and warehouse-control experience create a specialized industrial niche.","Retained after boundary review. 今天国际: Smart logistics and automated warehouse software/equipment integrator; retained narrowly because large project delivery, algorithms, and warehouse-control experience create a specialized industrial niche. triage 72.28; moat 70.16; technology 74.42; market 80.29; quality 62.45; governance 66.82.",Boundary retention requires a distinct niche not already covered by a stronger retained software platform.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300532;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300532.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300532.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
信息技术-计算机软件-其他软件服务,300624,万兴科技,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated software-review rules.,"Global creative-productivity software vendor; retained as a boundary product-software case with AI optionality and overseas user base, while monitoring durability versus larger platforms.","Retained after boundary review. 万兴科技: Global creative-productivity software vendor; retained as a boundary product-software case with AI optionality and overseas user base, while monitoring durability versus larger platforms. triage 71.98; moat 71.80; technology 80.95; market 68.32; quality 68.35; governance 68.83.",Boundary retention requires a distinct niche not already covered by a stronger retained software platform.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300624;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300624.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300624.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
信息技术-计算机软件-其他软件服务,600288,大恒科技,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"the business is mainly IT services, software outsourcing, system integration, or project delivery; capability is useful but not hard to replicate with capital and hiring.","Rejected for now. 大恒科技: the business is mainly IT services, software outsourcing, system integration, or project delivery; capability is useful but not hard to replicate with capital and hiring. triage 71.41; moat 69.04; technology 72.79; market 75.91; quality 64.82; governance 69.65.","Reject project-heavy, replaceable, weaker-copy, or customer-concentrated software-service companies even when domain experience is real.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH600288;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600288.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600288.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
信息技术-计算机软件-其他软件服务,300925,法本信息,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"the business is mainly IT services, software outsourcing, system integration, or project delivery; capability is useful but not hard to replicate with capital and hiring.","Rejected for now. 法本信息: the business is mainly IT services, software outsourcing, system integration, or project delivery; capability is useful but not hard to replicate with capital and hiring. triage 71.04; moat 67.72; technology 72.48; market 80.71; quality 61.04; governance 69.41.","Reject project-heavy, replaceable, weaker-copy, or customer-concentrated software-service companies even when domain experience is real.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300925;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300925.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300925.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
信息技术-计算机软件-其他软件服务,688316,青云科技,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"the business is mainly IT services, software outsourcing, system integration, or project delivery; capability is useful but not hard to replicate with capital and hiring.","Rejected for now. 青云科技: the business is mainly IT services, software outsourcing, system integration, or project delivery; capability is useful but not hard to replicate with capital and hiring. triage 71.02; moat 74.28; technology 90.06; market 65.54; quality 55.55; governance 66.05.","Reject project-heavy, replaceable, weaker-copy, or customer-concentrated software-service companies even when domain experience is real.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH688316;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688316.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688316.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
信息技术-计算机软件-其他软件服务,688023,安恒信息,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated software-review rules.,"Data security, cloud security, and cybersecurity product platform; retained as a differentiated security niche rather than a weaker copy of 深信服 or 奇安信.","Retained after boundary review. 安恒信息: Data security, cloud security, and cybersecurity product platform; retained as a differentiated security niche rather than a weaker copy of 深信服 or 奇安信. triage 71.01; moat 69.68; technology 75.66; market 71.94; quality 66.64; governance 68.11.",Boundary retention requires a distinct niche not already covered by a stronger retained software platform.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH688023;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688023.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688023.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
