peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,margin_and_technology_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,decided_at_utc
电池材料与镍钴资源一体化,603799,华友钴业,watch,watch,direct_watch,reviewer_explicit,Reviewer accepts directly watching companies previously marked direct watch.,2025 gross margin 17.47%; net margin 9.28%; ROE 13.70%. Technology and moat are not pure material capacity; they come from nickel-cobalt resources; metallurgy; precursor and cathode integration; global customer contracts; and overseas project execution.,Retained. 华友钴业 is a cross-resource and battery-material integration platform. The relevant risk is metal price and technology-route cycle; not easy replication by another battery-material peer.,Resource-backed battery-material integration can qualify when resources; metallurgy; customers; and project execution reinforce each other.,true,2026-05-15T00:00:00+00:00
电池材料与镍钴资源一体化,300919,中伟新材,watch,watch,direct_watch,reviewer_explicit,Reviewer accepts directly watching companies previously marked direct watch.,2025 gross margin 12.34%; net margin 3.35%; ROE 7.59%. Margins are not high but precursor scale; high-nickel process capability; customer qualification; and nickel resource locking create a step-level advantage.,Retained. 中伟新材 is kept as the pCAM and nickel-cobalt precursor anchor. The low-margin nature is a risk but not enough to reject because its position is not just generic capacity.,Thin-margin material leaders can qualify only when scale; process; customer qualification; and resource security are all present.,true,2026-05-15T00:00:00+00:00
电池材料与镍钴资源一体化,002340,格林美,watch_if_recycling_loop_accepted,watch,boundary_judged_watch,analyst_inferred_from_reviewer_standard,Boundary companies are retained only when margins and technology or channel evidence show a local industrial advantage that cannot be easily copied by a larger peer.,2025 gross margin 14.71%; net margin 4.64%; debt ratio 65.80%. Margins are ordinary but battery recycling depends on channel network; compliant processing qualifications; hydrometallurgy; and customer closed-loop relationships. These are slower to copy than a normal precursor line.,Retained with monitoring. 格林美 is not retained as a stronger precursor peer than 中伟; it is retained for recycling and closed-loop resource recovery. The watch thesis fails if CATL; Huayou; or other giants capture the recycling feedstock channels and compress its economics.,Recycling can qualify when channel control; compliance; processing know-how; and customer closed-loop value are material. Low margin alone is not a rejection if the network is hard to replicate.,true,2026-05-15T00:00:00+00:00
电池材料与镍钴资源一体化,002709,天赐材料,watch,watch,direct_watch,reviewer_explicit,Reviewer accepts directly watching companies previously marked direct watch.,2025 gross margin 22.24%; net margin 8.07%; ROE 9.79%. Electrolyte blending alone is not a moat but LiPF6; additives; formula know-how; process cost; and customer qualification raise the barrier.,Retained. 天赐材料 is the electrolyte anchor. LiPF6 cyclicality and price compression must be monitored but the company is not merely generic low-margin capacity.,Electrolyte companies qualify only when formulation; core lithium salts; additives; cost process; and customer qualification are source-backed.,true,2026-05-15T00:00:00+00:00
电池材料与镍钴资源一体化,300037,新宙邦,watch_if_specialty_fluorochem_accepted,watch,boundary_judged_watch,analyst_inferred_from_reviewer_standard,Boundary companies are retained only when their specialty business cannot be easily copied by a larger low-margin producer.,2025 gross margin 24.28%; net margin 11.40%; ROE 10.74%; R&D ratio 5.21%. Its specialty additives; emerging electrolytes; capacitor chemicals; and organic fluorochemicals are more formula and process intensive than generic electrolyte capacity.,Retained. 新宙邦 is not kept as a smaller 天赐; it is kept as a specialty-chemistry and additives platform. The margin profile supports that this is not merely a low-value business that larger peers ignore.,Specialty additives and fluorochemicals can justify a second electrolyte-related watch company when margin quality and formulation/process difficulty are visible.,true,2026-05-15T00:00:00+00:00
电池材料与镍钴资源一体化,002812,恩捷股份,watch,watch,direct_watch,reviewer_explicit,Reviewer accepts directly watching companies previously marked direct watch.,2025 gross margin 18.77%; net margin 1.03%. Profit is cyclical and weak but separator process yield; coating; customer validation; and long supply agreements make the step hard to replicate quickly.,Retained. 恩捷股份 is the wet separator anchor. It should be monitored for price recovery and overseas execution; but separator scale and qualification are not easily recreated by capital alone.,High-barrier steps can remain watchable during margin troughs if process and customer evidence remain strong.,true,2026-05-15T00:00:00+00:00
电池材料与镍钴资源一体化,300568,星源材质,boundary_watch,watch,boundary_judged_watch,analyst_inferred_from_reviewer_standard,Boundary companies are retained only when the local niche is different enough from the retained leader and can survive leader entry.,2025 gross margin 23.03%; net margin 1.79%; R&D ratio 6.75%. Net profit is weak but gross margin and R&D intensity do not look like a pure low-value capacity business. The differentiated thesis is dry separator leadership and storage-battery demand rather than wet separator scale.,Retained with lower conviction. 星源材质 is kept as a dry-separator specialist. It is not allowed to duplicate 恩捷's wet-separator slot; future review must confirm dry separator economics and customer durability.,A second company in the same material step can qualify only if its process route and customer use case differ materially from the first retained leader.,true,2026-05-15T00:00:00+00:00
电池材料与镍钴资源一体化,603659,璞泰来,watch,watch,direct_watch,reviewer_explicit,Reviewer accepts directly watching companies previously marked direct watch.,2025 gross margin 31.72%; net margin 16.58%; ROE 12.15%. Coated separator; anode; PVDF; equipment; customer co-development; and high patent count show a higher-margin platform than generic anode capacity.,Retained. 璞泰来 is kept for coated separator and battery-material platform integration rather than pure anode volume.,Platform-material companies qualify when several steps create customer co-development; process learning; and margin quality rather than unfocused breadth.,true,2026-05-15T00:00:00+00:00
电池材料与镍钴资源一体化,920185,贝特瑞,watch,watch,direct_watch,reviewer_explicit,Reviewer accepts directly watching companies previously marked direct watch.,2025 gross margin 20.72%; net margin 6.76%; R&D ratio 4.95%. Anode is competitive but global shipment leadership; silicon-based anode evidence; and customer validation make it more than commodity graphite capacity.,Retained. 贝特瑞 is the anode anchor. It should be monitored against cost specialists but still has the strongest technology and volume evidence in the group.,Anode leaders qualify when volume leadership is paired with product iteration and customer validation rather than just graphitization capacity.,true,2026-05-15T00:00:00+00:00
电池材料与镍钴资源一体化,001301,尚太科技,boundary_watch,watch,boundary_judged_watch,analyst_inferred_from_reviewer_standard,Boundary companies are retained only when low cost is a durable capability and not merely a lower-margin niche that larger peers could enter at will.,2025 gross margin 21.21%; net margin 11.91%; ROE 14.34%. This margin profile does not indicate a poor business ignored by giants. The moat is lower technology breadth than 贝特瑞 but stronger cost and integrated graphitization execution.,Retained with lower conviction. 尚太科技 is kept as an artificial-graphite cost-curve specialist. If deeper review shows cost advantage is temporary utilization or energy-price benefit rather than process capability; remove it.,Cost leadership can qualify as a moat when margins and ROE prove the cost curve is economically meaningful through competition.,true,2026-05-15T00:00:00+00:00
