peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
食品饮料-食品-调味品,605077,华康股份,direct_watch,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for functional sugar-alcohol and health ingredient leadership,华康股份不是典型调味品，而是功能性糖醇和健康食品配料公司，技术、认证、客户和多糖醇产品组合有壁垒；但原料价格和周期性使其边界关注。,Watch. 华康股份: 华康股份不是典型调味品，而是功能性糖醇和健康食品配料公司，技术、认证、客户和多糖醇产品组合有壁垒；但原料价格和周期性使其边界关注。 triage 68.73; moat 78.75; technology 57.88; market 80.50; quality 65.12; governance 66.38.,Boundary retain food-ingredient technology leaders when fermentation/process know-how and customer certification are visible.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH605077;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22605077.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22605077.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=605077;www.huakangpharma.com,2026-05-15T11:13:26+00:00
食品饮料-食品-调味品,600186,莲花控股,direct_watch,reject_for_now,,analyst_company_by_company_review,rejected because MSG and legacy brand strength are not enough against stronger condiment and ingredient leaders,莲花控股有莲花味精品牌和调味品历史，但味精更接近大宗发酵食品，品牌与渠道壁垒弱于海天、天味和功能糖技术公司。,Reject for now. 莲花控股: 莲花控股有莲花味精品牌和调味品历史，但味精更接近大宗发酵食品，品牌与渠道壁垒弱于海天、天味和功能糖技术公司。 triage 68.43; moat 81.12; technology 49.50; market 80.25; quality 70.62; governance 66.75.,Reject legacy MSG brands when the product is commoditized and brand moat is not category-defining today.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH600186;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600186.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600186.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600186;www.mylotushealth.com,2026-05-15T11:13:26+00:00
食品饮料-食品-调味品,603288,海天味业,boundary_watch,watch,direct_watch,analyst_company_by_company_review,"directly retained as the national condiment category leader with brand, channel, and scale moat",海天味业是调味品全国龙头，酱油、蚝油、酱醋等多品类、渠道密度、产能规模、品牌心智和餐饮端复购形成强护城河，资本难以短期复制。,Watch. 海天味业: 海天味业是调味品全国龙头，酱油、蚝油、酱醋等多品类、渠道密度、产能规模、品牌心智和餐饮端复购形成强护城河，资本难以短期复制。 triage 64.81; moat 69.00; technology 42.00; market 80.50; quality 79.75; governance 68.38.,"Retain category-defining condiment leaders when brand, channel density, scale, and restaurant/home repeat purchase reinforce each other.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH603288;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603288.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603288.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603288;www.haday.com,2026-05-15T11:13:26+00:00
食品饮料-食品-调味品,301206,三元生物,boundary_watch,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for erythritol and next-generation functional sugar technology,三元生物在赤藓糖醇和阿洛酮糖等功能糖方向有技术和产能基础，当前行业过剩不等于没有能力；但产品周期风险高，边界保留。,Watch. 三元生物: 三元生物在赤藓糖醇和阿洛酮糖等功能糖方向有技术和产能基础，当前行业过剩不等于没有能力；但产品周期风险高，边界保留。 triage 63.55; moat 68.88; technology 60.00; market 59.00; quality 64.50; governance 72.00.,Boundary retain functional-sweetener companies when technology and product optionality are real but commodity-cycle risk is high.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301206;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301206.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301206.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=301206;www.sanyuanbz.com,2026-05-15T11:13:26+00:00
食品饮料-食品-调味品,603317,XD天味食,boundary_watch,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for hotpot and compound-seasoning brands,天味食品在火锅底料和复合调味料中有好人家、大红袍等品牌和渠道基础，复调品类仍有成长；但竞争者多、口味迭代快，边界关注。,Watch. XD天味食: 天味食品在火锅底料和复合调味料中有好人家、大红袍等品牌和渠道基础，复调品类仍有成长；但竞争者多、口味迭代快，边界关注。 triage 62.40; moat 69.50; technology 39.25; market 72.75; quality 77.75; governance 68.75.,Boundary retain compound-seasoning brands when category leadership and channel reach are visible but competition is intense.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH603317;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603317.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603317.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603317;www.teway.cn,2026-05-15T11:13:26+00:00
食品饮料-食品-调味品,600872,中炬高新,boundary_watch,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for Chubang/Meiweixian condiment brand and scale despite governance history,中炬高新的美味鲜/厨邦有酱油和调味品品牌、渠道和产能基础，区别于小品牌；但治理、地产/园区历史和与海天的差距使其边界保留。,Watch. 中炬高新: 中炬高新的美味鲜/厨邦有酱油和调味品品牌、渠道和产能基础，区别于小品牌；但治理、地产/园区历史和与海天的差距使其边界保留。 triage 62.02; moat 71.38; technology 38.62; market 77.25; quality 70.12; governance 67.25.,Boundary retain second-tier condiment brands only when brand and channel scale remain clear after governance discount.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH600872;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600872.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600872.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600872;www.jonjee.com,2026-05-15T11:13:26+00:00
食品饮料-食品-调味品,603027,千禾味业,boundary_watch,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for zero-additive and premium soy-sauce differentiation,千禾味业在零添加、高品质酿造酱油和食醋中有差异化品牌心智，能与海天形成细分竞争；但规模仍小，边界关注。,Watch. 千禾味业: 千禾味业在零添加、高品质酿造酱油和食醋中有差异化品牌心智，能与海天形成细分竞争；但规模仍小，边界关注。 triage 61.36; moat 68.25; technology 43.25; market 67.75; quality 70.38; governance 68.00.,Boundary retain differentiated premium condiment brands when consumer positioning is distinct rather than a weaker copy.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH603027;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603027.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603027.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603027;www.qianhefood.com,2026-05-15T11:13:26+00:00
食品饮料-食品-调味品,300908,仲景食品,boundary_watch,watch,boundary_judged_watch,analyst_company_by_company_review,"boundary case retained for mushroom-sauce, spice, and flavoring niche built on origin and ingredients",仲景食品有香菇酱、调味油、香辛调味配料等细分品类，原料产地、配方和品牌有局部优势；但品类规模和全国性渠道弱于海天/天味。,Watch. 仲景食品: 仲景食品有香菇酱、调味油、香辛调味配料等细分品类，原料产地、配方和品牌有局部优势；但品类规模和全国性渠道弱于海天/天味。 triage 60.05; moat 64.50; technology 45.50; market 54.25; quality 78.75; governance 69.50.,"Boundary retain niche condiment brands when origin, recipe, and category reputation create differentiated demand.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300908;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300908.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300908.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=300908;www.zhongjing.com.cn,2026-05-15T11:13:26+00:00
食品饮料-食品-调味品,600305,恒顺醋业,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for century-old vinegar brand but downgraded for weak execution,恒顺醋业是食醋中华老字号和品类代表，品牌历史真实；但食醋品类增长和公司执行弱于头部调味品平台，因此边界观察。,Watch. 恒顺醋业: 恒顺醋业是食醋中华老字号和品类代表，品牌历史真实；但食醋品类增长和公司执行弱于头部调味品平台，因此边界观察。 triage 59.99; moat 66.38; technology 49.75; market 58.75; quality 67.75; governance 67.62.,Boundary retain old-line condiment brands when category identity is scarce but execution and category growth are weaker.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH600305;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600305.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600305.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600305;www.zjhengshun.com,2026-05-15T11:13:26+00:00
食品饮料-食品-调味品,603170,宝立食品,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for chain-restaurant compound-seasoning solutions,宝立食品提供复合调味料、饮品甜点配料、烘焙和轻烹解决方案，餐饮客户定制和研发响应构成B端粘性；但客户/渠道仍需深度验证。,Watch. 宝立食品: 宝立食品提供复合调味料、饮品甜点配料、烘焙和轻烹解决方案，餐饮客户定制和研发响应构成B端粘性；但客户/渠道仍需深度验证。 triage 59.93; moat 65.88; technology 39.38; market 68.00; quality 72.88; governance 66.88.,"Boundary retain B2B food-solution companies when R&D, customer co-development, and menu workflow create stickiness.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH603170;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603170.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603170.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603170;www.bolexfoods.com,2026-05-15T11:13:26+00:00
