peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
电子设备-半导体-半导体分立器件,300831,派瑞股份,direct_watch,watch,direct_watch,analyst_company_by_company_review,directly retained as a scarce HVDC high-power thyristor platform,派瑞股份承接西安电力电子技术研究所积累，服务高压直流输电核心器件，5英寸/6英寸大功率晶闸管和重大工程履历构成强验证壁垒。,Watch. 派瑞股份: 派瑞股份承接西安电力电子技术研究所积累，服务高压直流输电核心器件，5英寸/6英寸大功率晶闸管和重大工程履历构成强验证壁垒。 triage 72.05; moat 73.00; technology 84.50; market 61.50; quality 69.10; governance 70.20.,Retain power-semiconductor companies tied to HVDC/UHV core devices and national-engineering validation.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300831;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300831.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300831.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:27:16+00:00
电子设备-半导体-半导体分立器件,603290,斯达半导,direct_watch,watch,direct_watch,analyst_company_by_company_review,directly retained as a global IGBT module leader,斯达半导在全球IGBT模块市场具备前列位置，车规IGBT/SiC模块、汽车主驱和工业控制客户验证周期长，资金不能短期复制可靠性和客户导入。,Watch. 斯达半导: 斯达半导在全球IGBT模块市场具备前列位置，车规IGBT/SiC模块、汽车主驱和工业控制客户验证周期长，资金不能短期复制可靠性和客户导入。 triage 66.68; moat 58.50; technology 78.00; market 75.40; quality 57.10; governance 66.20.,Retain global or national IGBT/SiC module leaders with vehicle-grade qualification and customer adoption.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH603290;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603290.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603290.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:27:16+00:00
电子设备-半导体-半导体分立器件,300373,扬杰科技,direct_watch,watch,direct_watch,analyst_company_by_company_review,directly retained as a vertically integrated power-discrete IDM,扬杰科技是少数覆盖芯片设计制造、封测和销售服务的国内功率分立器件IDM，产品线、客户覆盖和制造体系形成规模与工艺复合壁垒。,Watch. 扬杰科技: 扬杰科技是少数覆盖芯片设计制造、封测和销售服务的国内功率分立器件IDM，产品线、客户覆盖和制造体系形成规模与工艺复合壁垒。 triage 66.02; moat 59.00; technology 67.00; market 78.00; quality 65.30; governance 65.30.,Retain power-discrete IDMs when vertical integration and product breadth create customer and process advantages.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300373;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300373.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300373.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:27:16+00:00
电子设备-半导体-半导体分立器件,688809,强一股份,direct_watch,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for high-end MEMS probe-card capability,强一股份上市时间短，但高端MEMS探针卡量产和测试接口方案属于半导体测试关键环节，客户导入和精密制造难以被普通资本快速复制。,Watch. 强一股份: 强一股份上市时间短，但高端MEMS探针卡量产和测试接口方案属于半导体测试关键环节，客户导入和精密制造难以被普通资本快速复制。 triage 65.49; moat 53.00; technology 76.00; market 59.40; quality 74.00; governance 69.50.,Boundary retain newly listed but established probe-card leaders when high-end MEMS probe capability is explicit.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH688809;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688809.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688809.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:27:16+00:00
电子设备-半导体-半导体分立器件,300623,捷捷微电,direct_watch,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for thyristor and power-device IDM niche,捷捷微电在可控硅、保护器件和分立器件IDM上有长期积累、认证和较高市占；但产品层级和全球地位弱于斯达、派瑞、扬杰。,Watch. 捷捷微电: 捷捷微电在可控硅、保护器件和分立器件IDM上有长期积累、认证和较高市占；但产品层级和全球地位弱于斯达、派瑞、扬杰。 triage 65.47; moat 57.50; technology 71.00; market 73.20; quality 62.30; governance 66.80.,Boundary retain mature power-discrete niche leaders when they have IDM depth but not top-tier strategic scarcity.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300623;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300623.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300623.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:27:16+00:00
电子设备-半导体-半导体分立器件,002213,大为股份,direct_watch,reject_for_now,,analyst_company_by_company_review,rejected because semiconductor exposure is a mixed transition story,大为股份从缓速器转向新能源、存储和智能终端，半导体能力不清晰，资源和材料业务混杂，缺少可验证的芯片核心壁垒。,Rejected for now. 大为股份: 大为股份从缓速器转向新能源、存储和智能终端，半导体能力不清晰，资源和材料业务混杂，缺少可验证的芯片核心壁垒。 triage 65.29; moat 65.00; technology 77.00; market 61.80; quality 48.60; governance 69.00.,Reject transition stories unless the semiconductor segment already has independent leadership.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002213;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002213.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002213.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:27:16+00:00
电子设备-半导体-半导体分立器件,605111,新洁能,boundary_watch,watch,direct_watch,analyst_company_by_company_review,directly retained as a domestic MOSFET and power-device design leader,新洁能在MOSFET/IGBT设计、超结和屏蔽栅MOSFET、12英寸平台量产等方向有明确技术壁垒，属于功率器件国产替代中可持续跟踪的核心公司。,Watch. 新洁能: 新洁能在MOSFET/IGBT设计、超结和屏蔽栅MOSFET、12英寸平台量产等方向有明确技术壁垒，属于功率器件国产替代中可持续跟踪的核心公司。 triage 64.80; moat 56.00; technology 71.50; market 67.20; quality 62.30; governance 68.90.,Retain specialized power-device design leaders with advanced MOSFET platforms and recognized product depth.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH605111;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22605111.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22605111.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:27:16+00:00
电子设备-半导体-半导体分立器件,688766,普冉股份,boundary_watch,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for non-volatile memory niche despite peer-group misclassification,普冉股份主业是NOR Flash/EEPROM/MCU/模拟，非传统分立器件；全球客户和低功耗高可靠非易失存储能力值得观察，但存储周期和竞争强度使其列为边界。,Watch. 普冉股份: 普冉股份主业是NOR Flash/EEPROM/MCU/模拟，非传统分立器件；全球客户和低功耗高可靠非易失存储能力值得观察，但存储周期和竞争强度使其列为边界。 triage 64.75; moat 57.00; technology 73.50; market 69.40; quality 58.50; governance 67.10.,Boundary retain misclassified memory-chip companies only when a distinct global niche and customer base are visible.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH688766;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688766.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688766.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:27:16+00:00
电子设备-半导体-半导体分立器件,688652,京仪装备,boundary_watch,reject_for_now,,analyst_company_by_company_review,rejected again because auxiliary equipment moat is weaker than retained semiconductor platforms,京仪装备已在半导体设备组被剔除；本组复核后仍认为温控、传片、废气处理属于有价值但偏辅助的子系统，不足以进入观察。,Rejected for now. 京仪装备: 京仪装备已在半导体设备组被剔除；本组复核后仍认为温控、传片、废气处理属于有价值但偏辅助的子系统，不足以进入观察。 triage 63.70; moat 55.50; technology 72.50; market 63.40; quality 62.70; governance 65.00.,Reject auxiliary semiconductor subsystems unless they approach core process-equipment moat and economics.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH688652;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688652.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688652.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:27:16+00:00
电子设备-半导体-半导体分立器件,600360,*ST华微,boundary_watch,reject_for_now,,analyst_company_by_company_review,rejected because ST and governance/operating risk overwhelm legacy technical base,*ST华微有功率半导体IDM历史和产能，但ST状态、治理和经营风险使其不适合作为第一轮质量观察标的。,Rejected for now. *ST华微: *ST华微有功率半导体IDM历史和产能，但ST状态、治理和经营风险使其不适合作为第一轮质量观察标的。 triage 63.23; moat 59.50; technology 71.00; market 66.80; quality 51.10; governance 65.90.,Reject technically capable semiconductor companies when ST/governance risk materially impairs watchlist quality.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH600360;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600360.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600360.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:27:16+00:00
