peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,decision_source,reviewer_or_inferred_reason,analyst_response,calibrated_standard_implication,applies_to_future_markets,decided_at_utc
医药生物-医疗器械-高端医械与医疗器械平台,300760,迈瑞医疗,core_watch,watch,reviewer_explicit,Reviewer explicitly retains Mindray Medical.,Accepted. Mindray is the broadest A-share medical-device platform; short-term procurement or policy pressure should be risk-tagged rather than used as a rejection reason.,Core medical-device platform watch requires product breadth hospital validation installed base service network global channel and continuous product iteration.,true,2026-05-14T00:00:00+00:00
医药生物-医疗器械-高端医械与医疗器械平台,688271,联影医疗,core_watch,watch,reviewer_explicit,Reviewer explicitly retains United Imaging.,Accepted. United Imaging has a distinct high-end imaging platform that Mindray does not comprehensively cover.,High-end imaging leaders can be retained alongside broad device platforms when the equipment category and clinical validation path are meaningfully different.,true,2026-05-14T00:00:00+00:00
医药生物-医疗器械-高端医械与医疗器械平台,688617,惠泰医疗,watch,watch,reviewer_explicit,Reviewer explicitly retains Apt Medical.,Accepted. Electrophysiology and vascular-intervention consumables are a distinct high-value clinical niche with doctor adoption and recurring procedure demand.,Specialized high-value device leaders can be retained when their treatment pathway and doctor adoption are not covered by retained broad platforms.,true,2026-05-14T00:00:00+00:00
医药生物-医疗器械-高端医械与医疗器械平台,688016,心脉医疗,watch_if_differentiated,watch,analyst_inferred,Reviewer asked analyst to decide for less familiar companies using the differentiated-peer principle.,Retain. Aortic and peripheral vascular intervention is a specialized high-value device niche distinct from Mindray United Imaging and Apt Medical; current evidence shows growth cash flow and clinical/product specialization.,Keep specialized intervention-device companies when their clinical niche is hard to replace and not comprehensively dominated by retained peers.,true,2026-05-14T00:00:00+00:00
医药生物-医疗器械-高端医械与医疗器械平台,688029,南微医学,watch_if_differentiated,watch,analyst_inferred,Reviewer asked analyst to decide for less familiar companies using the differentiated-peer principle.,Retain. Endoscopic diagnosis-and-treatment consumables have recurring procedure demand doctor usage habits and a different clinical workflow from retained equipment platforms.,Keep specialized consumable leaders when the procedure workflow creates durable adoption and the retained platforms do not cover the same advantage.,true,2026-05-14T00:00:00+00:00
医药生物-医疗器械-高端医械与医疗器械平台,300633,开立医疗,watch_if_differentiated,reject,analyst_inferred,Reviewer asked analyst to decide for less familiar companies using the dominance rejection test.,Reject. Ultrasound is partly covered by Mindray and endoscopy still faces strong global incumbents; current evidence does not prove an irreplaceable niche strong enough for this watchlist.,Reject companies whose main product lines are either covered by retained platforms or still lack clear leadership versus global incumbents.,true,2026-05-14T00:00:00+00:00
医药生物-医疗器械-高端医械与医疗器械平台,300832,新产业,watch_if_differentiated,reject,analyst_inferred,Reviewer asked analyst to decide for less familiar companies using the dominance rejection test.,Reject for this round. Chemiluminescence IVD has an installed-base/reagent model but overlaps with Mindray IVD and faces policy and competition pressure; current evidence does not prove enough irreplaceable differentiation.,Reject specialized IVD companies when their edge is not clearly separate from retained broad platforms and growth quality is weakening.,true,2026-05-14T00:00:00+00:00
医药生物-医疗器械-高端医械与医疗器械平台,002223,鱼跃医疗,reject_from_this_group,reject_from_this_group,analyst_inferred,Reviewer asked analyst to decide for less familiar companies using peer-group fit.,Reject from this group. Yuwell has home-healthcare brand and channel advantages, but those belong in a home-healthcare or consumer-medical-device peer group rather than high-end hospital devices.,Reclassify companies when their real advantage belongs to another peer group; do not retain them in the wrong peer group.,true,2026-05-14T00:00:00+00:00
医药生物-医疗器械-高端医械与医疗器械平台,300003,乐普医疗,reject_for_now,reject,analyst_inferred,Reviewer asked analyst to decide for less familiar companies using the dominance rejection test.,Reject. Lepu's old cardiovascular stent moat was weakened by procurement and the current multi-business transition does not yet show a cleaner irreplaceable advantage than retained specialized device leaders.,Reject former medical-device leaders when the old moat has been structurally weakened and the new moat is not yet proven.,true,2026-05-14T00:00:00+00:00
医药生物-医疗器械-高端医械与医疗器械平台,600587,新华医疗,reject_for_now,reject,analyst_inferred,Reviewer asked analyst to decide for less familiar companies using the dominance rejection test.,Reject. Xinhua Medical has legacy hospital-equipment capability but current evidence is insufficient to show a platform moat or specialized clinical niche comparable with retained companies.,Reject legacy hospital-equipment companies when high-end product leadership market share and irreplaceable customer adoption are not clearly evidenced.,true,2026-05-14T00:00:00+00:00
