market_type,market_label,security_code,symbol,exchange,listed_company_name,security_name,currency,isin,f10_code,latest_report_context,latest_report_date,eps,book_value_per_share,operating_cashflow_per_share,total_operating_revenue,parent_net_profit,revenue_yoy_pct,profit_yoy_pct,net_margin_pct,roe_weighted_pct,debt_asset_ratio_pct,issued_shares,source_provider,source_url,retrieved_at_utc,fetch_status,fetch_error
HONG_KONG,港股,00001,00001.HK,HKEX,CKH HOLDINGS,CKH HOLDINGS,HKD,KYG217651051,00001,数据来源：2025年报(最新数据)，2024年报(上年同期),,2.8003,133.1595,14.8042,2537.77,107.31,-3.46,47.25,6.92,2.16,1.04,3830044500,Eastmoney HKF10 CoreReading,https://emweb.securities.eastmoney.com/PC_HKF10/CoreReading/PageAjax?code=00001,2026-05-14T11:08:07+00:00,fetched,
HONG_KONG,港股,00002,00002.HK,HKEX,CLP HOLDINGS,CLP HOLDINGS,HKD,HK0002007356,00002,数据来源：2025年报(最新数据)，2024年报(上年同期),,3.7518,4.1956,0.9505,797.65,94.86,-3.99,-10.26,13.12,9.89,4.43,2526450570,Eastmoney HKF10 CoreReading,https://emweb.securities.eastmoney.com/PC_HKF10/CoreReading/PageAjax?code=00002,2026-05-14T11:08:07+00:00,fetched,
HONG_KONG,港股,00003,00003.HK,HKEX,HK & CHINA GAS,HK & CHINA GAS,HKD,HK0003000038,00003,数据来源：2025年报(最新数据)，2024年报(上年同期),,0.2764,9.8244,1.7435,492.32,51.55,-4.15,-1.2,12.36,9.74,3.53,18659870098,Eastmoney HKF10 CoreReading,https://emweb.securities.eastmoney.com/PC_HKF10/CoreReading/PageAjax?code=00003,2026-05-14T11:08:07+00:00,fetched,
HONG_KONG,港股,00004,00004.HK,HKEX,WHARF HOLDINGS,WHARF HOLDINGS,HKD,HK0004000045,00004,数据来源：2025年报(最新数据)，2024年报(上年同期),,0.0181,4.3761,0.1199,99.66,0.45,-0.05,149.84,1.08,0.04,0.03,3056027327,Eastmoney HKF10 CoreReading,https://emweb.securities.eastmoney.com/PC_HKF10/CoreReading/PageAjax?code=00004,2026-05-14T11:08:07+00:00,fetched,
HONG_KONG,港股,00005,00005.HK,HKEX,HSBC HOLDINGS,HSBC HOLDINGS,HKD,GB0005405286,00005,数据来源：2026一季报(最新数据)，2025一季报(上年同期),,2.837,,,879.59,480.07,-3.32,-1.18,58.17,3.51,0.21,17183560530,Eastmoney HKF10 CoreReading,https://emweb.securities.eastmoney.com/PC_HKF10/CoreReading/PageAjax?code=00005,2026-05-14T11:08:07+00:00,fetched,
HONG_KONG,港股,00006,00006.HK,HKEX,POWER ASSETS,POWER ASSETS,HKD,HK0006000050,00006,数据来源：2025年报(最新数据)，2024年报(上年同期),,2.6553,12.4384,0.1212,6.99,56.51,-7.78,-0.8,808.82,7.01,6.48,2131105154,Eastmoney HKF10 CoreReading,https://emweb.securities.eastmoney.com/PC_HKF10/CoreReading/PageAjax?code=00006,2026-05-14T11:08:07+00:00,fetched,
HONG_KONG,港股,00007,00007.HK,HKEX,WISDOM WEALTH,WISDOM WEALTH,HKD,BMG4643R1245,00007,数据来源：2025半年报(最新数据)，2024半年报(上年同期),,0.0036,0.2842,-0.0011,3.4,0.12,48.56,41.2,3.47,0.64,0.39,3355140697,Eastmoney HKF10 CoreReading,https://emweb.securities.eastmoney.com/PC_HKF10/CoreReading/PageAjax?code=00007,2026-05-14T11:08:07+00:00,fetched,
HONG_KONG,港股,00008,00008.HK,HKEX,PCCW,PCCW,HKD,HK0008011667,00008,数据来源：2025年报(最新数据)，2024年报(上年同期),,-0.0296,-0.0069,0.0427,364.78,-2.29,1.66,12.48,6.5,139.78,-0.25,7747762518,Eastmoney HKF10 CoreReading,https://emweb.securities.eastmoney.com/PC_HKF10/CoreReading/PageAjax?code=00008,2026-05-14T11:08:07+00:00,fetched,
HONG_KONG,港股,00010,00010.HK,HKEX,HANG LUNG GROUP,HANG LUNG GROUP,HKD,HK0010000088,00010,数据来源：2025年报(最新数据)，2024年报(上年同期),,0.9153,22.044,1.3514,94.37,12.42,-3.82,-5.86,23.56,1.41,0.58,1361618242,Eastmoney HKF10 CoreReading,https://emweb.securities.eastmoney.com/PC_HKF10/CoreReading/PageAjax?code=00010,2026-05-14T11:08:07+00:00,fetched,
HONG_KONG,港股,00012,00012.HK,HKEX,HENDERSON LAND,HENDERSON LAND,HKD,HK0012000102,00012,数据来源：2025年报(最新数据)，2024年报(上年同期),,1.0603,5.5827,0.2134,233.27,51.23,9.19,-8.28,25.32,1.75,1.06,4841387003,Eastmoney HKF10 CoreReading,https://emweb.securities.eastmoney.com/PC_HKF10/CoreReading/PageAjax?code=00012,2026-05-14T11:08:07+00:00,fetched,
HONG_KONG,港股,00013,00013.HK,HKEX,HUTCHMED,HUTCHMED,HKD,KYG4672N1198,00013,数据来源：2025年报(最新数据)，2024年报(上年同期),,3.735,0.5687,-0.0297,38.65,32.2,-10.92,-3.72,83.45,45.74,30.19,872335120,Eastmoney HKF10 CoreReading,https://emweb.securities.eastmoney.com/PC_HKF10/CoreReading/PageAjax?code=00013,2026-05-14T11:08:07+00:00,fetched,
HONG_KONG,港股,00014,00014.HK,HKEX,HYSAN DEV,HYSAN DEV,HKD,HK0014000126,00014,数据来源：2025年报(最新数据)，2024年报(上年同期),,0.2809,7.6807,0.2685,31.39,2.85,-1.57,198.81,8.55,0.48,0.27,1027008223,Eastmoney HKF10 CoreReading,https://emweb.securities.eastmoney.com/PC_HKF10/CoreReading/PageAjax?code=00014,2026-05-14T11:08:07+00:00,fetched,
HONG_KONG,港股,00016,00016.HK,HKEX,SHK PPT,SHK PPT,HKD,HK0016000132,00016,数据来源：2025半年报(最新数据)，2024半年报(上年同期),,3.2081,7.9686,0.2789,477.63,92.86,-5.93,9.45,20.08,1.65,1.26,2897780274,Eastmoney HKF10 CoreReading,https://emweb.securities.eastmoney.com/PC_HKF10/CoreReading/PageAjax?code=00016,2026-05-14T11:08:08+00:00,fetched,
