security_code,symbol,exchange,board,listed_company_name,security_name,listing_date,industry,research_status,profile_status,financial_status,profile_retrieved_at_utc,financial_retrieved_at_utc,last_error,next_action
600000,600000.SH,SSE,main_board,上海浦东发展银行股份有限公司,浦发银行,1999-11-10,金融业,evidence_fetched,fetched,fetched,2026-05-14T10:35:31+00:00,2026-05-14T10:35:31+00:00,,score_dimensions
600001,600001.SH,SSE,main_board,邯郸钢铁股份有限公司,-,1998-01-22,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:35:31+00:00,2026-05-14T10:35:31+00:00,,score_dimensions
600002,600002.SH,SSE,main_board,中国石化齐鲁股份有限公司,-,1998-04-08,其它,evidence_fetched,fetched,fetched,2026-05-14T10:35:31+00:00,2026-05-14T10:35:31+00:00,,score_dimensions
600003,600003.SH,SSE,main_board,东北高速公路股份有限公司,-,1999-08-10,其它,evidence_fetched,fetched,fetched,2026-05-14T10:35:31+00:00,2026-05-14T10:35:31+00:00,,score_dimensions
600004,600004.SH,SSE,main_board,广州白云国际机场股份有限公司,白云机场,2003-04-28,交通运输、仓储和邮政业,evidence_fetched,fetched,fetched,2026-05-14T10:35:33+00:00,2026-05-14T10:35:33+00:00,,score_dimensions
600005,600005.SH,SSE,main_board,武汉钢铁股份有限公司,-,1999-08-03,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:35:33+00:00,2026-05-14T10:35:33+00:00,,score_dimensions
600006,600006.SH,SSE,main_board,东风汽车股份有限公司,东风股份,1999-07-27,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:35:34+00:00,2026-05-14T10:35:34+00:00,,score_dimensions
600007,600007.SH,SSE,main_board,中国国际贸易中心股份有限公司,中国国贸,1999-03-12,房地产业,evidence_fetched,fetched,fetched,2026-05-14T10:35:35+00:00,2026-05-14T10:35:35+00:00,,score_dimensions
600008,600008.SH,SSE,main_board,北京首创生态环保集团股份有限公司,首创环保,2000-04-27,电力、热力、燃气及水生产和供应业,evidence_fetched,fetched,fetched,2026-05-14T10:35:35+00:00,2026-05-14T10:35:35+00:00,,score_dimensions
600009,600009.SH,SSE,main_board,上海国际机场股份有限公司,上海机场,1998-02-18,交通运输、仓储和邮政业,evidence_fetched,fetched,fetched,2026-05-14T10:35:36+00:00,2026-05-14T10:35:36+00:00,,score_dimensions
600010,600010.SH,SSE,main_board,内蒙古包钢钢联股份有限公司,包钢股份,2001-03-09,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:35:36+00:00,2026-05-14T10:35:36+00:00,,score_dimensions
600011,600011.SH,SSE,main_board,华能国际电力股份有限公司,华能国际,2001-12-06,电力、热力、燃气及水生产和供应业,evidence_fetched,fetched,fetched,2026-05-14T10:35:37+00:00,2026-05-14T10:35:37+00:00,,score_dimensions
600012,600012.SH,SSE,main_board,安徽皖通高速公路股份有限公司,皖通高速,2003-01-07,交通运输、仓储和邮政业,evidence_fetched,fetched,fetched,2026-05-14T10:35:37+00:00,2026-05-14T10:35:37+00:00,,score_dimensions
600015,600015.SH,SSE,main_board,华夏银行股份有限公司,华夏银行,2003-09-12,金融业,evidence_fetched,fetched,fetched,2026-05-14T10:35:38+00:00,2026-05-14T10:35:38+00:00,,score_dimensions
600016,600016.SH,SSE,main_board,中国民生银行股份有限公司,民生银行,2000-12-19,金融业,evidence_fetched,fetched,fetched,2026-05-14T10:35:38+00:00,2026-05-14T10:35:38+00:00,,score_dimensions
600017,600017.SH,SSE,main_board,日照港股份有限公司,日照港,2006-10-17,交通运输、仓储和邮政业,evidence_fetched,fetched,fetched,2026-05-14T10:35:39+00:00,2026-05-14T10:35:39+00:00,,score_dimensions
600018,600018.SH,SSE,main_board,上海国际港务(集团)股份有限公司,上港集团,2000-07-19,交通运输、仓储和邮政业,evidence_fetched,fetched,fetched,2026-05-14T10:35:40+00:00,2026-05-14T10:35:40+00:00,,score_dimensions
600019,600019.SH,SSE,main_board,宝山钢铁股份有限公司,宝钢股份,2000-12-12,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:35:41+00:00,2026-05-14T10:35:41+00:00,,score_dimensions
