security_code,symbol,exchange,listed_company_name,security_name,latest_report_date,latest_report_type,latest_annual_report_date,latest_annual_report_type,total_operating_revenue,parent_net_profit,gross_margin_pct,net_margin_pct,roe_weighted_pct,roic_pct,operating_cashflow_per_share,cashflow_to_revenue_pct,debt_asset_ratio_pct,revenue_yoy_pct,profit_yoy_pct,research_expense,research_expense_to_revenue_pct,employee_count_finance,source_provider,source_urls,retrieved_at_utc,fetch_status,fetch_error
000001,000001.SZ,SZSE,平安银行,平安银行,2026-03-31 00:00:00,一季报,2025-12-31 00:00:00,年报,131442000000,42633000000,,32.434838,9.15,,16.276306,2.403022,90.698536,-10.397764,-4.212726,,,41698,Eastmoney F10 Finance,https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000001.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000001.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-14T10:43:50+00:00,fetched,
000002,000002.SZ,SZSE,万  科Ａ,万  科Ａ,2026-03-31 00:00:00,一季报,2025-12-31 00:00:00,年报,233432768960.429993,-88556470495.639999,9.461173,-39.330421,-55.42,-13.000324,-0.082822,-0.004233,76.890576,-31.97879,-78.979955,444030295.44,0.190218,131429,Eastmoney F10 Finance,https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000002.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000002.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-14T10:43:50+00:00,fetched,
000004,000004.SZ,SZSE,*ST国华,*ST国华,2026-03-31 00:00:00,一季报,2025-12-31 00:00:00,年报,176957354.87,6487230.32,80.958625,8.339016,9.64,13.303268,0.228064,0.170613,70.960922,79.360146,104.931927,60031071.88,33.924033,320,Eastmoney F10 Finance,https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000004.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000004.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-14T10:43:50+00:00,fetched,
000006,000006.SZ,SZSE,深振业Ａ,深振业Ａ,2026-03-31 00:00:00,一季报,2025-12-31 00:00:00,年报,2618016381.31,-42257500.5,19.096304,-1.343932,-0.79,0.975054,0.140045,0.072215,62.535762,-56.833656,97.305634,1115879.37,0.042623,417,Eastmoney F10 Finance,https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000006.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000006.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-14T10:43:50+00:00,fetched,
000007,000007.SZ,SZSE,全新好,全新好,2026-03-31 00:00:00,一季报,2025-12-31 00:00:00,年报,395737287.76,1927223.06,12.372461,0.158756,1.07,0.777717,1.040329,0.910755,48.016664,28.788865,-96.584249,,,172,Eastmoney F10 Finance,https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000007.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000007.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-14T10:43:51+00:00,fetched,
000008,000008.SZ,SZSE,神州高铁,神州高铁,2026-03-31 00:00:00,一季报,2025-12-31 00:00:00,年报,2120399134.77,-835213824.83,27.004882,-39.3766,-32.01,-11.11829,0.065102,0.0834,73.878531,1.843734,-53.163475,177522176.67,8.372111,1750,Eastmoney F10 Finance,https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000008.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000008.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-14T10:43:51+00:00,fetched,
000009,000009.SZ,SZSE,中国宝安,中国宝安,2026-03-31 00:00:00,一季报,2025-12-31 00:00:00,年报,23036277153.400002,203041725.86,25.818464,5.861698,2.04,4.378277,0.450349,0.050422,59.783485,13.86983,17.619973,1052726195.86,4.569863,15986,Eastmoney F10 Finance,https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000009.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000009.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-14T10:43:51+00:00,fetched,
000010,000010.SZ,SZSE,*ST美丽,*ST美丽,2026-03-31 00:00:00,一季报,2025-12-31 00:00:00,年报,634211930.55,-34564363.86,7.75981,-3.60669,-12.15,10.706169,-0.006992,-0.012675,88.161111,-24.693895,-296.150376,,,121,Eastmoney F10 Finance,https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000010.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000010.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-14T10:43:51+00:00,fetched,
000011,000011.SZ,SZSE,深物业A,深物业A,2026-03-31 00:00:00,一季报,2025-12-31 00:00:00,年报,2383288250.02,33885110.58,27.110843,0.196927,1,1.115861,-3.50024,-0.875291,79.036692,-12.832855,103.039664,4842422.28,0.203182,8769,Eastmoney F10 Finance,https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000011.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000011.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-14T10:43:51+00:00,fetched,
000012,000012.SZ,SZSE,南  玻Ａ,南  玻Ａ,2026-03-31 00:00:00,一季报,2025-12-31 00:00:00,年报,13718969008,125668291,14.60816,0.767799,0.92,1.328202,0.373384,0.083574,56.701245,-11.235031,-52.893054,519332680,3.785508,14054,Eastmoney F10 Finance,https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000012.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000012.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-14T10:43:51+00:00,fetched,
