market_type,security_code,listed_company_name,source_urls,business_summary,moat_summary,technology_barrier_summary,cash_flow_quality_summary,margin_quality_summary,market_position_summary,risks,score_0_100,score_reason,evidence_retrieved_at_utc
A_SHARE,600519,贵州茅台酒股份有限公司,https://www.moutaichina.com/mtgf/articleFileDir/2026-04/17/1d565b73e05549c4ad4392314e62112c.pdf;https://www.moutaichina.com/mtgf/2025-10/18/article_2025101811085247943.html,Premium baijiu producer focused on Kweichow Moutai and series liquors,Official annual report plus company article support durable brand and channel moat built over decades,Origin linked sauce aroma process and quality control create production know how barrier rather than software technology,Large scale premium consumer business supports strong cash generation,Premium baijiu model supports very high profitability versus most industrial sectors,Company article cites 2024 listed company health ranking first and recognised brand and channel moat,Baijiu demand pressure and governance changes and policy consumption sensitivity,90,90 based on unusually strong brand and channel moat high margin cash generation and resilient category leadership with demand and policy risks,2026-05-14T09:28:23Z
A_SHARE,300750,宁德时代,https://www.catl.com/en/news/6773.html,Power battery and energy storage battery producer expanding into zero carbon energy systems,Global share leadership in power batteries and energy storage supports scale moat and customer ecosystem,RMB 22.1b R&D spend in 2025 patents and new chemistry launches support strong technology barrier,Company disclosed RMB 133.2b operating cash flow in 2025,High profit scale is strong but battery price competition and materials cycles keep margin risk,CATL disclosed 39.2 percent global power battery share and first place for nine consecutive years,EV battery price competition customer concentration geopolitical and supply chain risk,88,88 based on global battery leadership high R&D intensity patent base operating cash flow and manufacturing scale with competition and cycle risks,2026-05-14T09:28:23Z
A_SHARE,000333,美的集团,https://www.midea.com.cn/en/Investors?wcmmode=disabled;https://www.midea.com/global/about-midea,Global home appliance and smart building technology group with consumer and industrial businesses,Multi brand appliance scale global channels manufacturing depth and service network support durable business barrier,Official materials cite 38 global R&D centers and use of IoT AI and big data in product systems,Large mature appliance platform supports recurring free cash flow though hardware cycles matter,Official investor page cites 2025 record revenue and net profit but margins remain hardware exposed,Large global appliance scale and Fortune 500 status support market position,Housing cycle raw materials channel competition and hardware margin pressure,83,83 based on global appliance scale brand channel R&D footprint and record 2025 performance with cyclical hardware margin risks,2026-05-14T10:00:00Z
A_SHARE,002594,比亚迪,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=2696;https://static.cninfo.com.cn/finalpage/enpage/002594_2.pdf,Vertically integrated NEV battery electronics and rail transit group,Vertical integration across vehicles batteries electronics and manufacturing gives cost and product cycle advantages,CNINFO snapshot cites core strengths in electronic information AI 5G IoT thermal management materials molds and digital manufacturing,Large manufacturing scale supports operating leverage but autos remain capital intensive,Margins are more cyclical than software or premium spirits due auto price competition,CNINFO snapshot states leading position in the global NEV industry,Auto price war execution overseas tariff and capital intensity,82,82 based on vertical integration technology breadth and NEV leadership offset by auto cyclicality margin pressure and capital intensity,2026-05-14T09:28:23Z
A_SHARE,002050,三花智控,https://www.zjshc.com/en/investor/hkstock.html,Thermal management and control component supplier for HVAC appliances and vehicles,Scale in refrigeration air conditioning and EV thermal components supports component platform moat,Precision control components and thermal management engineering create process and design barriers,Manufacturing scale and global customer base support cash generation but component cycles matter,Margins are healthier than commodity components but exposed to customer pricing,Investor page and reports present Sanhua as a global thermal management control supplier,Customer concentration auto cycle tariff and price pressure,76,76 based on global thermal management niche scale precision component know how and EV exposure with customer and cycle risks,2026-05-14T10:00:00Z
A_SHARE,002415,海康威视,https://www.hikvision.com/content/dam/hikvision/en/marketing/image/latest-news/20260427/2025-hikvision-annual-report_en.pdf,Video IoT and security equipment company expanding AIoT applications,Installed base channels and product ecosystem support switching costs in enterprise and public sector video systems,Annual report supports strong R&D governance and AIoT technology investment,Cash generation remains solid for a mature hardware software system provider,Profitability improved in 2025 but hardware and project mix keep margin risk,Search and annual report materials support global leadership in video and AIoT markets,Geopolitical sanctions public sector demand privacy regulation and overseas restrictions,79,79 based on large installed base AIoT technology platform and mature profitability offset by geopolitical and regulatory risks,2026-05-14T10:00:00Z
A_SHARE,300760,迈瑞医疗,https://www.mindray.com/en/about-us;https://www.mindray.com/content/dam/xpace/en/investor-relations/2025/mindray-2025-esg-report-en.pdf,Medical device company covering patient monitoring life support in vitro diagnostics and medical imaging,Hospital installed base clinical workflows and brand trust support switching costs and channel moat,Official materials emphasize innovation and quality systems with ISO and medical device audits,Routine consumables service and installed equipment base support cash quality,Medical device margins are structurally stronger than commodity hardware though procurement pressure matters,Company describes broad core competencies and global healthcare accessibility mission,Volume based procurement hospital capex cycles regulation and overseas competition,81,81 based on hospital installed base quality systems product breadth and R&D culture with procurement and regulatory risks,2026-05-14T10:00:00Z
A_SHARE,300274,阳光电源,https://www.sungrowpower.com/en/About-Us/investor,Solar inverter and energy storage system supplier,Global inverter and energy storage scale plus bankability support customer trust and channel moat,Power electronics engineering grid connection know how and storage integration support technology barrier,Fast growing clean energy demand supports cash generation but working capital can be volatile,Margins are exposed to solar and storage price competition,Official investor page provides financial report access and company disclosure base,Renewables price war overseas policy changes and inventory cycles,75,75 based on power electronics capability global renewables scale and storage exposure with industry price cycle risks,2026-05-14T10:00:00Z
A_SHARE,600690,海尔智家股份有限公司,https://www.haier.com/global/press-events/news/20260402_288863.shtml,Global smart home appliance group with multi brand and localized operations,Global brand portfolio service network and localized manufacturing support durable consumer appliance barrier,AI and digital capabilities in global operating model support process and product technology moat,Mature appliance business supports cash generation though replacement cycles matter,Official 2025 results release says revenue exceeded RMB 300b and net profit reached record high,Global smart home leadership and premium brand positions support market position,Housing cycle raw materials tariffs and appliance competition,77,77 based on global appliance brand portfolio local operating model and record 2025 results offset by cyclical hardware risks,2026-05-14T10:00:00Z
A_SHARE,600887,内蒙古伊利实业集团股份有限公司,https://www.yili.com/en/investors,Dairy and nutrition company with liquid milk milk powder yogurt and cold drink businesses,Brand distribution cold chain and scale procurement create durable consumer staples barrier,Food safety quality systems and product innovation support process barrier more than hard technology,Mature branded staples platform supports cash generation,Margins are moderate but supported by brand mix and scale,Yili investor page provides 2025 annual and quarterly result materials and long report archive,Raw milk cycle category competition channel costs and food safety risk,78,78 based on dairy brand distribution scale and category leadership with moderate margins and commodity input risks,2026-05-14T10:00:00Z
