queue_rank,market_type,market_label,company_key,representative_security_code,security_name,listed_company_name,triage_score,triage_decision,deep_review_trigger,challenge_reason,priority,review_status,required_source_standard,next_action,source_scoring_model_version,queued_at_utc
1,A_SHARE,A股,A_SHARE:贵州茅台酒股份有限公司,600519,贵州茅台,贵州茅台酒股份有限公司,87.02,challenged,triage_score>=65;manual_challenge,Reviewer challenged Moutai ranking and moat/technology-barrier treatment.,0,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
2,A_SHARE,A股,A_SHARE:中国铝业股份有限公司,601600,中国铝业,中国铝业股份有限公司,84.52,challenged,triage_score>=65;manual_challenge,Reviewer challenged whether the prior high rank was justified.,0,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
3,A_SHARE,A股,A_SHARE:特变电工股份有限公司,600089,特变电工,特变电工股份有限公司,79.26,challenged,triage_score>=65;manual_challenge,Reviewer challenged exclusion of a grid and UHV equipment leader.,0,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
4,A_SHARE,A股,A_SHARE:宁德时代,300750,宁德时代,宁德时代,77.67,challenged,triage_score>=65;manual_challenge,Reviewer challenged CATL ranking industry-outlook score and governance-risk treatment.,0,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
5,A_SHARE,A股,A_SHARE:云南锗业,002428,云南锗业,云南锗业,77.05,challenged,triage_score>=65;manual_challenge,Reviewer challenged exclusion of a strategic germanium capability despite weak current profit.,0,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
6,USA,美股,USA:731766,UNH,UnitedHealth Group Incorporated Common Stock (DE),UnitedHealth Group Incorporated Common Stock (DE),73.89,challenged,triage_score>=65;manual_challenge,Reviewer challenged exclusion of UnitedHealth Group.,0,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
7,A_SHARE,A股,A_SHARE:紫金矿业集团股份有限公司,601899,紫金矿业,紫金矿业集团股份有限公司,70.47,challenged,triage_score>=65;manual_challenge,Reviewer challenged absence of a global gold and copper leader from the watchlist.,0,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
8,A_SHARE,A股,A_SHARE:比亚迪,002594,比亚迪,比亚迪,69.58,challenged,triage_score>=65;manual_challenge,Reviewer challenged exclusion of BYD from the watchlist.,0,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
9,A_SHARE,A股,A_SHARE:无锡药明康德新药开发股份有限公司,603259,药明康德,无锡药明康德新药开发股份有限公司,68.97,challenged,triage_score>=65;manual_challenge,Reviewer challenged exclusion of a CRDMO platform leader.,0,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
10,A_SHARE,A股,A_SHARE:深圳惠泰医疗器械股份有限公司,688617,惠泰医疗,深圳惠泰医疗器械股份有限公司,68.40,challenged,triage_score>=65;manual_challenge,Reviewer challenged exclusion of an interventional and electrophysiology-device leader.,0,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
11,A_SHARE,A股,A_SHARE:上海联影医疗科技股份有限公司,688271,联影医疗,上海联影医疗科技股份有限公司,66.97,challenged,triage_score>=65;manual_challenge,Reviewer challenged exclusion of a high-end medical-equipment platform.,0,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
12,A_SHARE,A股,A_SHARE:招商银行股份有限公司,600036,招商银行,招商银行股份有限公司,66.70,challenged,triage_score>=65;manual_challenge,Reviewer challenged whether selecting only one bank was reasonable.,0,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
13,A_SHARE,A股,A_SHARE:江特电机,002176,江特电机,江特电机,51.08,challenged,manual_challenge,Reviewer asked whether exclusion is reasonable under a capability-first review.,0,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
14,HONG_KONG,港股,HONG_KONG:CNE1000001T8,02600,CHALCO,CHALCO,86.73,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
15,A_SHARE,A股,A_SHARE:古井贡酒,000596,古井贡酒,古井贡酒,85.91,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
16,A_SHARE,A股,A_SHARE:五 粮 液,000858,五 粮 液,五 粮 液,85.68,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
17,A_SHARE,A股,A_SHARE:安徽迎驾贡酒股份有限公司,603198,迎驾贡酒,安徽迎驾贡酒股份有限公司,85.19,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
18,A_SHARE,A股,A_SHARE:洋河股份,002304,洋河股份,洋河股份,83.82,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
19,A_SHARE,A股,A_SHARE:江苏今世缘酒业股份有限公司,603369,今世缘,江苏今世缘酒业股份有限公司,83.77,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
20,A_SHARE,A股,A_SHARE:厦门厦钨新能源材料股份有限公司,688778,厦钨新能,厦门厦钨新能源材料股份有限公司,83.61,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
21,A_SHARE,A股,A_SHARE:河南平高电气股份有限公司,600312,平高电气,河南平高电气股份有限公司,82.46,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
22,A_SHARE,A股,A_SHARE:格林美,002340,格林美,格林美,82.15,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
23,A_SHARE,A股,A_SHARE:道氏技术,300409,道氏技术,道氏技术,82.01,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
24,A_SHARE,A股,A_SHARE:中国西电电气股份有限公司,601179,中国西电,中国西电电气股份有限公司,81.80,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
25,A_SHARE,A股,A_SHARE:盛龙股份,001257,盛龙股份,盛龙股份,81.74,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
26,A_SHARE,A股,A_SHARE:广州环投永兴集团股份有限公司,601033,XD永兴股,广州环投永兴集团股份有限公司,81.73,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
27,A_SHARE,A股,A_SHARE:三安光电股份有限公司,600703,三安光电,三安光电股份有限公司,81.59,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
28,A_SHARE,A股,A_SHARE:四川水井坊股份有限公司,600779,水井坊,四川水井坊股份有限公司,81.57,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
29,A_SHARE,A股,A_SHARE:硅宝科技,300019,硅宝科技,硅宝科技,81.55,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
30,A_SHARE,A股,A_SHARE:特锐德,300001,特锐德,特锐德,81.49,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
31,A_SHARE,A股,A_SHARE:安徽口子酒业股份有限公司,603589,口子窖,安徽口子酒业股份有限公司,81.45,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
32,A_SHARE,A股,A_SHARE:威胜信息技术股份有限公司,688100,威胜信息,威胜信息技术股份有限公司,81.36,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
33,A_SHARE,A股,A_SHARE:国电南瑞科技股份有限公司,600406,国电南瑞,国电南瑞科技股份有限公司,81.34,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
34,A_SHARE,A股,A_SHARE:万马股份,002276,万马股份,万马股份,81.27,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
35,A_SHARE,A股,A_SHARE:远光软件,002063,远光软件,远光软件,81.08,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
36,A_SHARE,A股,A_SHARE:东方电子,000682,东方电子,东方电子,81.06,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
37,A_SHARE,A股,A_SHARE:云南省贵金属新材料控股集团股份有限公司,600459,贵研铂业,云南省贵金属新材料控股集团股份有限公司,81.05,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
38,A_SHARE,A股,A_SHARE:彩讯股份,300634,彩讯股份,彩讯股份,80.97,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
39,A_SHARE,A股,A_SHARE:闻泰科技股份有限公司,600745,*ST闻泰,闻泰科技股份有限公司,80.85,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
40,A_SHARE,A股,A_SHARE:雅化集团,002497,雅化集团,雅化集团,80.78,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
41,A_SHARE,A股,A_SHARE:山西杏花村汾酒厂股份有限公司,600809,山西汾酒,山西杏花村汾酒厂股份有限公司,80.71,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
42,A_SHARE,A股,A_SHARE:安宁股份,002978,安宁股份,安宁股份,80.64,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
43,A_SHARE,A股,A_SHARE:南网数字,301638,南网数字,南网数字,80.64,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T17:52:47+00:00
